,built_years,size,street_adress_code,dong_code,max(price),max(floor)
514,1973,57.22,310200300040,1117013600,47000,11
515,1973,65.75,413314700012,1138010400,23000,2
516,1973,65.78,413314700012,1138010400,35000,6
517,1973,65.78,413315000009,1138010400,21000,6
518,1973,66.43,413314700012,1138010400,28800,1
519,1973,66.43,413315000009,1138010400,20000,1
520,1973,69.06,310200300040,1117013600,52000,4
521,1973,69.39,310200300040,1117013600,50000,10
522,1973,69.42,310102400071,1117010100,28000,2
523,1973,69.45,310200300040,1117013600,59000,6
524,1973,70.64,311201500455,1141011100,34450,6
525,1973,71.57,311201500455,1141011100,24400,1
526,1973,74.38,410045300020,1111017400,29500,9
527,1973,77.52,310200300040,1117013600,50000,11
528,1973,77.59,310200300040,1117013600,43000,8
529,1973,83.83,410045300020,1111017400,36000,8
530,1973,89.55,410045300020,1111017400,39000,8
531,1973,95.54,410045300020,1111017400,37000,7
532,1973,97.32,310200300040,1117013600,63000,4
533,1973,98.91,410045300020,1111017400,37500,6
534,1973,99.17,310000500095,1111011300,54000,6
535,1973,101.95,310200300040,1117013600,60000,8
536,1973,103.53,310200300040,1117013600,53000,10
537,1973,104.79,310200300040,1117013600,80000,8
538,1973,104.89,312101700009,1165010700,376000,6
539,1973,104.89,312101700045,1165010700,205000,6
540,1973,104.89,31210179    ,1165010700,178000,4
541,1973,106.25,312101700009,1165010700,430000,5
542,1973,106.25,312101700045,1165010700,450000,5
543,1973,106.26,312101700045,1165010700,440000,5
544,1973,106.26,312101745   ,1165010700,160000,2
545,1973,106.49,312101700045,1165010700,355000,5
546,1973,107.47,312101700045,1165010700,459000,5
547,1973,107.47,312101745   ,1165010700,192500,3
548,1973,108.33,312101700045,1165010700,470000,5
549,1973,122.71,410045300020,1111017400,44800,9
550,1973,140.13,312101700009,1165010700,540000,5
551,1973,140.13,312101700045,1165010700,530000,5
552,1973,140.13,31210179    ,1165010700,194500,1
553,1973,140.33,312101700009,1165010700,527000,5
554,1973,140.33,312101700045,1165010700,450000,5
555,1973,154.55,410628100002,1117012900,135000,11
556,1973,158.18,410045300020,1111017400,60000,9
557,1973,159.47,300501400108,1117013100,42000,1
558,1973,196.8,312101700009,1165010700,325000,3
559,1973,200.1,410628100002,1117012900,150000,2
560,1973,202.45,410628100002,1117012900,158000,12
561,1973,202.78,410631100011,1117013000,155500,3
562,1973,214.08,410631100011,1117013000,143000,4
563,1973,237.25,410631100011,1117013000,80000,2
564,1974,28.79,300501400073,1117013100,15500,4
565,1974,29.45,300501400073,1117013100,15300,6
566,1974,30.28,300501400073,1117013100,10500,3
567,1974,31.01,300501400073,1117013100,17300,6
568,1974,31.47,300501400073,1117013100,14150,5
569,1974,31.64,300501400073,1117013100,12000,1
570,1974,33.45,300501400073,1117013100,17500,4
571,1974,36.79,300501400073,1117013100,16400,6
572,1974,39.38,300501400073,1117013100,16000,5
573,1974,39.83,300501400073,1117013100,19000,6
574,1974,40.63,300501400073,1117013100,21000,4
575,1974,41.02,300501400073,1117013100,9000,5
